season,episode_number,title,airdate,rating,total_votes,desc
10,4,Knock Knock,2017-05-06,7.4,4002,"Bill is moving in with some friends and they've found the perfect house rented by the landlord. The wind blows, the floorboards creak and the Doctor thinks something is very wrong."
10,5,Oxygen,2017-05-13,8.0,4113,"When the Doctor, Bill and Nardole become trapped on a space station without oxygen, they discover the spacesuits are trying to kill them."
10,6,Extremis,2017-05-20,8.4,4236,"The Doctor is called by the Vatican to solve the mystery of a text called the Veritas, that when someone reads it dies soon after. But something is dwelling in the Vatican, and doesn't want the Veritas to be read."
10,7,The Pyramid at the End of the World,2017-05-27,7.7,3683,"A 5,000-year-old pyramid appears overnight, baffling everyone including the Doctor."
10,8,The Lie of the Land,2017-06-03,7.2,3581,"Earth is invaded and Bill is living alone in occupied Britain. The Doctor appears to be on the side of the enemy, flooding the airwaves with fake news. Bill and Nardole embark on a deadly mission to rescue the Doctor and lead the resistance against the new regime, whatever the cost."
10,9,Empress of Mars,2017-06-10,7.0,3536,"The Doctor, Bill and Nardole discover a tomb of the Queen of the Ice Warriors on Mars in 1881."
10,10,The Eaters of Light,2017-06-17,6.9,3519,"A long time ago, the Roman legion of the ninth vanished into the mists of Scotland. Bill has a theory about what happened, and the Doctor has a time machine. But when they arrive in ancient Aberdeenshire, what they find is a far greater threat than any army. In a cairn, on a hillside, is a doorway leading to the end of the world."
10,11,World Enough and Time,2017-06-24,9.1,4957,"Trapped on a giant spaceship, caught in the event horizon of a black hole, he witnesses the death of someone he is pledged to protect. Are events already out of control?"
10,12,The Doctor Falls,2017-07-01,8.9,4955,The Doctor makes a final stand against an army of Cybermen to protect a tiny band of humans from destruction.
11,0,Twice Upon a Time,2017-12-25,8.2,6553,"The Twelfth Doctor, still refusing to change, goes on a last adventure with the First Doctor."
11,1,The Woman Who Fell to Earth,2018-10-07,6.9,10265,"In a South Yorkshire city, Ryan Sinclair, Yasmin Khan and Graham O'Brien are about to have their lives changed forever, as a mysterious woman, unable to remember her own name, falls from the night sky."
11,2,The Ghost Monument,2018-10-14,6.0,7948,"Still reeling from their first encounter, can the Doctor and her new friends stay alive long enough, in a hostile alien environment, to solve the mystery of Desolation? And just who are Angstrom and Epzo?"
11,3,Rosa,2018-10-21,7.0,9353,"Montgomery, Alabama, 1955. The Doctor and her friends find themselves in the Deep South of America. As they encounter a seamstress by the name of Rosa Parks, they begin to wonder whether someone is attempting to change history."
11,4,Arachnids in the UK,2018-10-28,5.0,7278,"The Doctor, Yaz, Graham, and Ryan find their way back to Yorkshire only to find something is stirring amidst the eight-legged arachnid population of Sheffield."
11,5,The Tsuranga Conundrum,2018-11-04,5.0,6745,"Injured and stranded in the wilds of a far-flung galaxy, The Doctor, Yaz, Graham, and Ryan must band together with a group of strangers to survive against one of the universe's most deadly - and unusual - creatures."
11,6,Demons of the Punjab,2018-11-11,6.5,6820,"Yasmin travels in time to visit her grandmother during her youth in the partition of India, but everyone gets caught up in the tragic bloodshed of that era."
11,7,Kerblam!,2018-11-18,6.2,6004,"A mysterious message arrives in a package addressed to the Doctor, leading her, Graham, Yaz and Ryan to investigate the warehouse moon orbiting Kandoka, and the home of the galaxy's largest retailer."
11,8,The Witchfinders,2018-11-25,5.7,5660,"Arriving in 17th Century Lancashire, the TARDIS team become embroiled in a witch trial. With the arrival of King James I, the hunt for witches intensifies. However, could something more dangerous be at play? Can the Doctor, Graham, Yaz and Ryan keep the populace of Bilehurst Cragg safe from the forces surrounding the land?"
11,9,It Takes You Away,2018-12-02,6.2,5429,"On the edge of a Norwegian fjord, in the present day, The Doctor, Ryan, Graham and Yaz discover a boarded-up cottage and a girl named Hanne in need of their help. What has happened here? What monster lurks in the woods around the cottage - and beyond?"
11,10,The Battle of Ranskoor Av Kolos,2018-12-09,5.3,4959,"Answering nine separate distress calls, the Doctor and team arrive on the remnants of a brutal battlefield on the planet Ranskoor Av Kolos. This planet has many secrets. An amnesiac commander? Mysterious mists? Who or what are the Ux? A deadly reckoning awaits the Doctor and team once they have the answers...."
11,11,Resolution,2019-01-01,5.8,4862,"As the New Year begins, a terrifying evil is stirring from across the centuries of Earth's history. As the Doctor, Ryan, Graham and Yaz return home, will they be able to overcome the threat to planet Earth?"
